
Call:
model.avg(object = stse_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
1/17/19/25   5 -10.24 32.62 15.97   0.00
1/17/21/25   5 -10.24 32.62 15.98   0.00
1/12/17/19   5 -10.24 32.62 15.98   0.00
1/4/16/17    5 -10.24 32.63 15.99   0.00
1/4/9/17     5 -10.25 32.63 15.99   0.00
1/9/12/17    5 -10.25 32.64 15.99   0.00
1/4/17/19    5 -10.25 32.64 16.00   0.00
1/12/16/17   5 -10.25 32.65 16.00   0.00
1/4/17/21    5 -10.25 32.65 16.01   0.00
1/2/10/17    6  -8.77 32.65 16.01   0.00
1/12/17/21   5 -10.26 32.66 16.02   0.00
1/9/17/18    5 -10.27 32.67 16.03   0.00
1/15/19/26   5 -10.27 32.68 16.04   0.00
1/9/16/17    5 -10.27 32.68 16.04   0.00
1/9/17/19    5 -10.27 32.68 16.04   0.00
1/16/17/18   5 -10.27 32.69 16.05   0.00
1/9/17/21    5 -10.28 32.70 16.06   0.00
1/17/18/19   5 -10.28 32.70 16.06   0.00
1/17/18/21   5 -10.28 32.70 16.06   0.00
5/8/13/17    5 -10.28 32.70 16.06   0.00
8/17/18/26   5 -10.28 32.71 16.07   0.00
1/16/17/19   5 -10.29 32.72 16.08   0.00
8/13/17/24   5 -10.29 32.72 16.08   0.00
1/8/11/17    6  -8.81 32.73 16.09   0.00
1/16/17/21   5 -10.29 32.73 16.09   0.00
1/8/19/30    5 -10.30 32.74 16.10   0.00
1/17/19/21   5 -10.30 32.74 16.10   0.00
1/17/23      5 -10.30 32.74 16.10   0.00
7/8/17       4 -11.69 32.75 16.11   0.00
17/26/27     4 -11.69 32.75 16.11   0.00
2/8/17/26    5 -10.31 32.76 16.12   0.00
3/8/13/17    5 -10.34 32.82 16.18   0.00
8/17/30      4 -11.75 32.87 16.23   0.00
7/8/13/17    5 -10.37 32.88 16.24   0.00
8/12/17      4 -11.76 32.91 16.26   0.00
8/13/17/21   5 -10.40 32.93 16.29   0.00
4/8/13/17    5 -10.40 32.95 16.31   0.00
6/8/13/17    5 -10.40 32.95 16.31   0.00
8/17/21      4 -11.79 32.96 16.31   0.00
8/13/17/18   5 -10.41 32.97 16.33   0.00
2/8/13/17    5 -10.42 32.98 16.33   0.00
7/8/17/26    5 -10.43 33.00 16.35   0.00
8/17/19/26   5 -10.43 33.01 16.37   0.00
8/17/24      4 -11.82 33.02 16.37   0.00
8/17/25      4 -11.82 33.02 16.38   0.00
1/11/17/29   7  -7.36 33.02 16.38   0.00
8/9/13/17    5 -10.44 33.03 16.39   0.00
2/8/17       4 -11.83 33.03 16.39   0.00
8/17/18      4 -11.83 33.05 16.41   0.00
8/17/26/30   5 -10.45 33.05 16.41   0.00
8/16/17      4 -11.84 33.05 16.41   0.00
8/17/22      4 -11.84 33.05 16.41   0.00
8/16/17/26   5 -10.46 33.07 16.43   0.00
8/10/17/29   7  -7.38 33.07 16.43   0.00
8/12/13/17   5 -10.47 33.08 16.44   0.00
8/13/17/22   5 -10.47 33.08 16.44   0.00
8/13/17/25   5 -10.49 33.13 16.49   0.00
8/17/22/26   5 -10.50 33.14 16.50   0.00
8/13/16/17   5 -10.50 33.15 16.51   0.00
8/17/20/26   5 -10.54 33.22 16.58   0.00
5/8/15/17    5 -10.56 33.26 16.62   0.00
1/15/26      4 -11.96 33.30 16.65   0.00
5/8/9/17     5 -10.58 33.30 16.66   0.00
1/10/17/24   6  -9.11 33.33 16.69   0.00
8/17/21/26   5 -10.60 33.35 16.70   0.00
1/11/17/26   6  -9.16 33.42 16.78   0.00
8/12/17/26   5 -10.64 33.42 16.78   0.00
4/8/17/19    5 -10.64 33.43 16.79   0.00
6/8/17/26    5 -10.65 33.45 16.81   0.00
1/6/10/17    6  -9.18 33.46 16.82   0.00
1/10/17/20   6  -9.18 33.47 16.83   0.00
8/9/17/26    5 -10.67 33.47 16.83   0.00
8/17/25/26   5 -10.67 33.48 16.84   0.00
1/10/17/26   6  -9.22 33.55 16.91   0.00
1/10/13/17   6  -9.22 33.56 16.92   0.00
8/9/15/17    5 -10.73 33.61 16.96   0.00
4/8/15/17    5 -10.75 33.64 17.00   0.00
1/2/11/17    6  -9.29 33.70 17.06   0.00
17/19/26/27  5 -10.78 33.71 17.07   0.00
1/13/17/23   6  -9.32 33.75 17.11   0.00
8/15/17/30   5 -10.81 33.77 17.13   0.00
1/3/10/17    6  -9.34 33.78 17.14   0.00
1/2/17/23    6  -9.36 33.83 17.19   0.00
8/10/17      5 -10.86 33.86 17.22   0.00
8/15/17/19   5 -10.86 33.87 17.23   0.00
1/8/19/26    5 -10.89 33.92 17.28   0.00
8/9/17/19    5 -10.89 33.93 17.28   0.00
4/8/17/20    5 -10.89 33.93 17.29   0.00
13/17/26/27  5 -10.89 33.93 17.29   0.00
8/12/17/19   5 -10.90 33.94 17.30   0.00
5/6/8/17     5 -10.91 33.96 17.32   0.00
