
Call:
model.avg(object = stse_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
14/17/19/27  5 -10.91 33.97 17.32   0.00
1/6/11/17    6  -9.43 33.97 17.33   0.00
4/8/17/30    5 -10.92 33.98 17.34   0.00
6/8/15/17    5 -10.93 34.00 17.36   0.00
5/8/17/19    5 -10.93 34.00 17.36   0.00
14/17/26/27  5 -10.93 34.00 17.36   0.00
1/26         3 -13.60 34.00 17.36   0.00
3/5/8/17     5 -10.93 34.01 17.37   0.00
4/8/9/17     5 -10.95 34.04 17.40   0.00
7/8/15/17    5 -10.96 34.06 17.42   0.00
4/7/8/17     5 -10.96 34.07 17.43   0.00
1/5/15/26    5 -10.96 34.07 17.43   0.00
1/7/10/17    6  -9.48 34.07 17.43   0.00
7/8/9/17     5 -10.97 34.08 17.44   0.00
1/10/17/22   6  -9.49 34.10 17.45   0.00
8/9/17/20    5 -10.99 34.12 17.47   0.00
5/8/10/17    6  -9.52 34.15 17.51   0.00
3/8/9/17     5 -11.00 34.15 17.51   0.00
4/5/8/17     5 -11.01 34.17 17.53   0.00
8/17/19/30   5 -11.02 34.17 17.53   0.00
8/17/23      5 -11.02 34.17 17.53   0.00
1/11/13/17   6  -9.54 34.19 17.55   0.00
8/9/17/18    5 -11.03 34.19 17.55   0.00
8/15/17/20   5 -11.03 34.20 17.56   0.00
8/9/17/30    5 -11.04 34.22 17.57   0.00
1/11/17/24   6  -9.56 34.22 17.58   0.00
8/15/17/24   5 -11.06 34.27 17.63   0.00
8/15/17/25   5 -11.07 34.28 17.64   0.00
1/10/17/18   6  -9.59 34.28 17.64   0.00
1/4/10/17    6  -9.59 34.30 17.66   0.00
1/10/16/17   6  -9.60 34.31 17.67   0.00
1/10/17/30   6  -9.61 34.33 17.69   0.00
8/15/16/17   5 -11.10 34.34 17.69   0.00
8/15/17/18   5 -11.10 34.34 17.70   0.00
8/15/17/21   5 -11.10 34.35 17.70   0.00
1/5/11/17    6  -9.62 34.36 17.72   0.00
2/4/8/17     5 -11.11 34.36 17.72   0.00
8/15/17/22   5 -11.11 34.37 17.73   0.00
2/8/9/17     5 -11.12 34.38 17.74   0.00
1/9/10/17    6  -9.64 34.39 17.74   0.00
1/8/19       4 -12.50 34.39 17.75   0.00
1/10/15/17   6  -9.64 34.40 17.75   0.00
2/8/15/17    5 -11.13 34.40 17.76   0.00
8/12/15/17   5 -11.13 34.41 17.77   0.00
3/8/15/17    5 -11.13 34.41 17.77   0.00
4/8/16/17    5 -11.14 34.42 17.78   0.00
4/8/17/18    5 -11.15 34.44 17.79   0.00
1/10/12/17   6  -9.67 34.45 17.81   0.00
4/6/8/17     5 -11.16 34.46 17.81   0.00
4/8/17/21    5 -11.16 34.46 17.82   0.00
1/10/17/25   6  -9.67 34.46 17.82   0.00
1/10/17/19   6  -9.68 34.46 17.82   0.00
1/10/17/21   6  -9.68 34.47 17.83   0.00
3/4/8/17     5 -11.17 34.48 17.84   0.00
1/8/26       4 -12.55 34.48 17.84   0.00
5/17/26/27   5 -11.17 34.49 17.85   0.00
4/8/17/22    5 -11.17 34.49 17.85   0.00
8/9/17/22    5 -11.18 34.50 17.85   0.00
4/8/12/17    5 -11.18 34.50 17.86   0.00
1/11/17/30   6  -9.70 34.50 17.86   0.00
4/8/17/25    5 -11.18 34.50 17.86   0.00
4/8/17/24    5 -11.18 34.50 17.86   0.00
1/3/11/17    6  -9.70 34.51 17.86   0.00
1/20/30      4 -12.56 34.51 17.87   0.00
8/9/17/24    5 -11.18 34.51 17.87   0.00
7/8/17/19    5 -11.19 34.51 17.87   0.00
8/9/17/21    5 -11.20 34.55 17.91   0.00
1/17/23/26   6  -9.74 34.59 17.95   0.00
1/15/20/26   5 -11.23 34.61 17.97   0.00
1/5/17/23    6  -9.75 34.61 17.97   0.00
8/9/16/17    5 -11.24 34.61 17.97   0.00
17/29        4 -12.62 34.62 17.98   0.00
6/8/9/17     5 -11.24 34.62 17.98   0.00
1/6/17/23    6  -9.76 34.63 17.99   0.00
5/8/17/20    5 -11.24 34.63 17.99   0.00
1/8/20/30    5 -11.25 34.64 17.99   0.00
5/8/17/30    5 -11.25 34.64 18.00   0.00
13/17/27     4 -12.63 34.64 18.00   0.00
8/9/12/17    5 -11.25 34.64 18.00   0.00
8/9/17/25    5 -11.25 34.65 18.01   0.00
3/7/8/17     5 -11.25 34.65 18.01   0.00
1/11/17/20   6  -9.78 34.68 18.03   0.00
14/17/27     4 -12.65 34.68 18.04   0.00
8/10/13/17   6  -9.79 34.68 18.04   0.00
17/26/27/29  6  -9.79 34.69 18.04   0.00
6/8/17/19    5 -11.27 34.69 18.04   0.00
3/8/17/19    5 -11.27 34.69 18.05   0.00
1/20/26/30   5 -11.28 34.70 18.06   0.00
8/11/17/26   6  -9.80 34.71 18.07   0.00
17/27        3 -13.97 34.73 18.09   0.00
2/5/8/17     5 -11.31 34.75 18.11   0.00
5/7/8/17     5 -11.31 34.77 18.13   0.00
8/11/17      5 -11.32 34.79 18.15   0.00
5/8/12/17    5 -11.32 34.79 18.15   0.00
1/11/17/22   6  -9.85 34.81 18.17   0.00
8/17/20/30   5 -11.33 34.81 18.17   0.00
1/4/11/17    6  -9.85 34.81 18.17   0.00
1/12/15/26   5 -11.33 34.81 18.17   0.00
6/7/8/17     5 -11.34 34.82 18.18   0.00
1/7/15/26    5 -11.34 34.82 18.18   0.00
1/11/17/25   6  -9.86 34.83 18.18   0.00
5/8/17/21    5 -11.34 34.83 18.19   0.00
5/8/17/22    5 -11.35 34.84 18.20   0.00
6/8/17/30    5 -11.35 34.84 18.20   0.00
17/26/29     5 -11.35 34.85 18.20   0.00
1/7/11/17    6  -9.87 34.85 18.21   0.00
5/8/17/24    5 -11.36 34.85 18.21   0.00
8/16/17/19   5 -11.36 34.86 18.22   0.00
2/13/17/27   5 -11.37 34.87 18.23   0.00
8/17/19/21   5 -11.37 34.88 18.23   0.00
5/8/17/18    5 -11.38 34.90 18.26   0.00
1/7/26       4 -12.76 34.91 18.26   0.00
6/8/17/20    5 -11.38 34.91 18.26   0.00
8/17/18/19   5 -11.38 34.91 18.27   0.00
5/8/16/17    5 -11.38 34.91 18.27   0.00
1/11/15/17   6  -9.91 34.93 18.28   0.00
8/17/19/20   5 -11.39 34.93 18.29   0.00
2/8/17/19    5 -11.39 34.93 18.29   0.00
8/17/19/22   5 -11.40 34.93 18.29   0.00
5/8/17/25    5 -11.40 34.94 18.30   0.00
8/17/19/25   5 -11.40 34.94 18.30   0.00
1/14/15/26   5 -11.40 34.95 18.30   0.00
3/8/17/20    5 -11.40 34.95 18.31   0.00
7/8/17/20    5 -11.40 34.95 18.31   0.00
1/17/20/23   6  -9.92 34.96 18.32   0.00
8/17/19/24   5 -11.41 34.96 18.32   0.00
1/17/23/24   6  -9.93 34.97 18.33   0.00
13/17/19/27  5 -11.42 34.99 18.35   0.00
8/12/17/20   5 -11.43 35.00 18.36   0.00
17/22/26/27  5 -11.43 35.00 18.36   0.00
16/17/26/27  5 -11.43 35.01 18.37   0.00
8/10/17/26   6  -9.95 35.02 18.38   0.00
1/11/17/18   6  -9.96 35.04 18.40   0.00
17/26        3 -14.13 35.05 18.41   0.00
1/20/24/30   5 -11.46 35.06 18.42   0.00
6/8/17/22    5 -11.46 35.07 18.42   0.00
1/11/17/19   6  -9.98 35.07 18.43   0.00
3/8/17/30    5 -11.46 35.07 18.43   0.00
1/9/11/17    6  -9.98 35.08 18.43   0.00
3/6/8/17     5 -11.47 35.08 18.44   0.00
8/17/23/29   7  -8.39 35.09 18.45   0.00
1/11/16/17   6  -9.99 35.09 18.45   0.00
1/7/12/26    5 -11.48 35.10 18.46   0.00
1/11/12/17   6  -9.99 35.10 18.46   0.00
1/11/17/21   6  -9.99 35.10 18.46   0.00
6/8/12/17    5 -11.48 35.10 18.46   0.00
8/11/17/29   7  -8.40 35.11 18.47   0.00
1/12/26      4 -12.88 35.13 18.49   0.00
1/20/26      4 -12.88 35.13 18.49   0.00
14/17        3 -14.17 35.15 18.51   0.00
2/6/8/17     5 -11.51 35.17 18.53   0.00
1/3/8/19     5 -11.52 35.18 18.54   0.00
6/8/16/17    5 -11.52 35.18 18.54   0.00
6/8/17/21    5 -11.53 35.20 18.56   0.00
12/17/26/27  5 -11.53 35.20 18.56   0.00
3/8/17/24    5 -11.53 35.21 18.56   0.00
17/27/29     5 -11.53 35.21 18.57   0.00
6/8/17/18    5 -11.54 35.21 18.57   0.00
7/8/17/21    5 -11.54 35.22 18.58   0.00
8/17/20/21   5 -11.54 35.23 18.59   0.00
1/3/17/23    6 -10.06 35.23 18.59   0.00
1/9/15/26    5 -11.55 35.25 18.61   0.00
6/8/17/25    5 -11.56 35.25 18.61   0.00
1/17/23/30   6 -10.07 35.25 18.61   0.00
6/8/17/24    5 -11.56 35.26 18.62   0.00
2/8/17/20    5 -11.56 35.26 18.62   0.00
3/8/12/17    5 -11.57 35.29 18.65   0.00
1/2/15/26    5 -11.57 35.29 18.65   0.00
1/15/26/27   5 -11.57 35.29 18.65   0.00
8/16/17/20   5 -11.58 35.29 18.65   0.00
1/7/24/26    5 -11.58 35.30 18.66   0.00
8/17/20/24   5 -11.58 35.30 18.66   0.00
8/17/25/30   5 -11.58 35.30 18.66   0.00
9/17/26/27   5 -11.58 35.31 18.66   0.00
3/8/17/21    5 -11.58 35.31 18.67   0.00
8/17/20/22   5 -11.58 35.31 18.67   0.00
8/17/20/25   5 -11.58 35.31 18.67   0.00
3/8/17/22    5 -11.58 35.31 18.67   0.00
14/17/26     4 -12.97 35.31 18.67   0.00
3/8/17/18    5 -11.59 35.32 18.67   0.00
8/17/18/20   5 -11.59 35.32 18.68   0.00
8/17/23/26   6 -10.11 35.33 18.68   0.00
2/3/8/17     5 -11.59 35.33 18.68   0.00
1/7/17/23    6 -10.11 35.33 18.69   0.00
3/8/16/17    5 -11.59 35.33 18.69   0.00
17/18/26/27  5 -11.59 35.33 18.69   0.00
3/8/17/25    5 -11.60 35.34 18.70   0.00
17/20/26/27  5 -11.61 35.36 18.72   0.00
7/8/12/17    5 -11.61 35.37 18.72   0.00
7/8/17/30    5 -11.61 35.37 18.73   0.00
7/17/26/27   5 -11.61 35.37 18.73   0.00
1/3/15/26    5 -11.62 35.37 18.73   0.00
8/12/17/30   5 -11.62 35.38 18.74   0.00
1/15/24/26   5 -11.62 35.39 18.75   0.00
1/24/26      4 -13.02 35.42 18.78   0.00
1/8/25/26    5 -11.64 35.43 18.79   0.00
1/15/22/26   5 -11.65 35.44 18.79   0.00
17/25/26/27  5 -11.65 35.44 18.80   0.00
1/8/15/26    5 -11.66 35.46 18.82   0.00
2/7/8/17     5 -11.66 35.47 18.83   0.00
7/8/17/25    5 -11.67 35.48 18.84   0.00
3/17/26/27   5 -11.67 35.48 18.84   0.00
15/17/26/27  5 -11.67 35.48 18.84   0.00
1/17/23/25   6 -10.19 35.48 18.84   0.00
1/15/17/23   6 -10.19 35.49 18.85   0.00
17/26/27/30  5 -11.68 35.50 18.85   0.00
17/21/26/27  5 -11.68 35.50 18.86   0.00
7/8/17/24    5 -11.68 35.50 18.86   0.00
4/17/26/27   5 -11.68 35.50 18.86   0.00
17/24/26/27  5 -11.68 35.50 18.86   0.00
6/17/26/27   5 -11.68 35.50 18.86   0.00
7/8/17/22    5 -11.68 35.51 18.86   0.00
7/8/17/18    5 -11.68 35.51 18.87   0.00
7/8/16/17    5 -11.69 35.51 18.87   0.00
8/17/21/30   5 -11.69 35.52 18.88   0.00
1/17/22/23   6 -10.21 35.52 18.88   0.00
1/9/26       4 -13.10 35.57 18.93   0.00
8/17/24/30   5 -11.72 35.59 18.95   0.00
8/12/17/21   5 -11.73 35.59 18.95   0.00
1/25/26      4 -13.11 35.60 18.95   0.00
1/12/17/23   6 -10.25 35.61 18.97   0.00
1/4/17/23    6 -10.25 35.61 18.97   0.00
8/12/17/24   5 -11.74 35.62 18.97   0.00
8/17/18/30   5 -11.74 35.62 18.98   0.00
8/16/17/30   5 -11.74 35.63 18.99   0.00
13/14/17/27  5 -11.74 35.63 18.99   0.00
8/17/22/30   5 -11.74 35.63 18.99   0.00
2/8/17/30    5 -11.74 35.63 18.99   0.00
8/10/15/17   6 -10.26 35.64 18.99   0.00
1/8/20/25    5 -11.75 35.64 19.00   0.00
1/3/26       4 -13.13 35.64 19.00   0.00
8/12/17/25   5 -11.75 35.65 19.01   0.00
8/12/17/18   5 -11.76 35.65 19.01   0.00
2/8/12/17    5 -11.76 35.66 19.02   0.00
1/9/17/23    6 -10.28 35.66 19.02   0.00
1/17/18/23   6 -10.28 35.67 19.02   0.00
8/12/17/22   5 -11.76 35.67 19.03   0.00
8/12/16/17   5 -11.76 35.67 19.03   0.00
8/17/21/24   5 -11.76 35.67 19.03   0.00
1/5/26       4 -13.15 35.68 19.04   0.00
8/17/21/25   5 -11.78 35.69 19.05   0.00
1/16/17/23   6 -10.29 35.70 19.06   0.00
2/17/26/29   6 -10.29 35.70 19.06   0.00
8/11/13/17   6 -10.29 35.70 19.06   0.00
2/8/17/21    5 -11.78 35.70 19.06   0.00
1/17/19/23   6 -10.30 35.71 19.06   0.00
1/17/21/23   6 -10.30 35.71 19.07   0.00
8/17/18/21   5 -11.79 35.71 19.07   0.00
8/16/17/21   5 -11.79 35.71 19.07   0.00
8/17/21/22   5 -11.79 35.72 19.08   0.00
13/14/17     4 -13.17 35.73 19.08   0.00
8/17/24/25   5 -11.80 35.74 19.10   0.00
1/18/20/30   5 -11.80 35.74 19.10   0.00
8/17/18/24   5 -11.80 35.74 19.10   0.00
8/13/17/23   6 -10.32 35.75 19.11   0.00
8/16/17/25   5 -11.81 35.76 19.12   0.00
8/17/22/24   5 -11.81 35.77 19.13   0.00
2/8/17/25    5 -11.82 35.77 19.13   0.00
8/16/17/24   5 -11.82 35.78 19.13   0.00
2/8/17/24    5 -11.82 35.78 19.14   0.00
8/17/18/25   5 -11.82 35.78 19.14   0.00
1/8/12/26    5 -11.82 35.78 19.14   0.00
2/8/17/18    5 -11.82 35.78 19.14   0.00
8/17/22/25   5 -11.82 35.78 19.14   0.00
2/8/17/22    5 -11.82 35.79 19.15   0.00
2/8/16/17    5 -11.83 35.79 19.15   0.00
1/15/25/26   5 -11.83 35.80 19.15   0.00
8/16/17/18   5 -11.83 35.81 19.17   0.00
8/17/18/22   5 -11.83 35.81 19.17   0.00
8/16/17/22   5 -11.84 35.82 19.17   0.00
1/3/20/30    5 -11.85 35.84 19.20   0.00
8/15/17/23   6 -10.38 35.87 19.23   0.00
1/15/26/30   5 -11.86 35.87 19.23   0.00
1/8/25       4 -13.25 35.89 19.25   0.00
17/25/29     5 -11.88 35.91 19.27   0.00
1/26/30      4 -13.27 35.91 19.27   0.00
1/19/26      4 -13.28 35.93 19.29   0.00
1/8/20/26    5 -11.90 35.94 19.30   0.00
1/6/15/26    5 -11.90 35.94 19.30   0.00
1/7/8/26     5 -11.90 35.95 19.31   0.00
4/8/10/17    6 -10.43 35.97 19.33   0.00
1/15/18/26   5 -11.92 35.98 19.34   0.00
13/17/26     4 -13.31 35.99 19.35   0.00
17/19/27     4 -13.31 36.00 19.36   0.00
14/17/19     4 -13.31 36.00 19.36   0.00
1/13/15/26   5 -11.93 36.01 19.37   0.00
11/17/26/27  6 -10.45 36.01 19.37   0.00
1/5/8/26     5 -11.94 36.01 19.37   0.00
17/19/27/29  6 -10.45 36.02 19.38   0.00
8/10/17/19   6 -10.46 36.02 19.38   0.00
1/15/16/26   5 -11.94 36.02 19.38   0.00
1/7/8/19     5 -11.94 36.03 19.39   0.00
8/10/17/20   6 -10.46 36.03 19.39   0.00
1/9/12/26    5 -11.95 36.04 19.40   0.00
1/4/15/26    5 -11.95 36.05 19.40   0.00
2/14/17/27   5 -11.95 36.05 19.41   0.00
1/15/21/26   5 -11.96 36.06 19.42   0.00
8/9/11/17    6 -10.48 36.07 19.43   0.00
2/13/17/26   5 -11.97 36.08 19.43   0.00
2/17/27      4 -13.36 36.10 19.46   0.00
2/3/17/26    5 -11.98 36.10 19.46   0.00
1/7/20/26    5 -11.99 36.11 19.47   0.00
1/8/9/19     5 -11.99 36.12 19.48   0.00
8/9/10/17    6 -10.52 36.15 19.51   0.00
1/6/26       4 -13.39 36.16 19.52   0.00
4/13/17/27   5 -12.02 36.18 19.54   0.00
1/6/8/19     5 -12.03 36.20 19.56   0.00
1/6/8/26     5 -12.03 36.21 19.57   0.00
1/14/26      4 -13.43 36.24 19.59   0.00
2/17/26      4 -13.44 36.25 19.61   0.00
1/8/18/19    5 -12.07 36.28 19.64   0.00
1/20/25      4 -13.46 36.30 19.65   0.00
13/17        3 -14.76 36.31 19.67   0.00
1/2/26       4 -13.47 36.32 19.67   0.00
2/17/27/29   6 -10.60 36.32 19.68   0.00
5/10/17/29   7  -9.01 36.32 19.68   0.00
8/17/20/23   6 -10.62 36.34 19.70   0.00
8/17/19/23   6 -10.62 36.36 19.71   0.00
1/8/15/19    5 -12.11 36.36 19.72   0.00
5/8/17/23    6 -10.63 36.37 19.73   0.00
7/8/10/17    6 -10.64 36.39 19.75   0.00
1/3/8/26     5 -12.13 36.40 19.76   0.00
1/20/25/26   5 -12.13 36.41 19.76   0.00
14/17/25     4 -13.51 36.41 19.77   0.00
17/23/26/27  6 -10.65 36.41 19.77   0.00
1/4/26       4 -13.52 36.42 19.78   0.00
6/8/10/17    6 -10.66 36.42 19.78   0.00
17/19/29     5 -12.14 36.42 19.78   0.00
1/8/26/30    5 -12.14 36.43 19.79   0.00
1/8          3 -14.82 36.45 19.81   0.00
1/8/24/26    5 -12.16 36.46 19.82   0.00
13/14/17/19  5 -12.17 36.48 19.84   0.00
1            2 -16.05 36.48 19.84   0.00
7/8/17/23    6 -10.70 36.51 19.86   0.00
9/14/17      4 -13.57 36.51 19.87   0.00
1/6/20/30    5 -12.18 36.51 19.87   0.00
1/18/26      4 -13.57 36.52 19.88   0.00
1/20         3 -14.86 36.52 19.88   0.00
11/17/26     5 -12.20 36.54 19.90   0.00
1/13/26      4 -13.59 36.55 19.91   0.00
1/7/25/26    5 -12.21 36.55 19.91   0.00
1/7/19/26    5 -12.21 36.56 19.92   0.00
1/22/26      4 -13.59 36.56 19.92   0.00
1/26/27      4 -13.59 36.56 19.92   0.00
1/16/26      4 -13.60 36.58 19.94   0.00
1/21/26      4 -13.60 36.58 19.94   0.00
1/5/12/26    5 -12.22 36.59 19.95   0.00
1/12/20/26   5 -12.24 36.63 19.99   0.00
1/6/8        4 -13.63 36.63 19.99   0.00
1/7/20/30    5 -12.25 36.64 20.00   0.00
9/14/17/19   5 -12.25 36.64 20.00   0.00
1/4/20/30    5 -12.25 36.65 20.00   0.00
1/13/20/30   5 -12.26 36.66 20.01   0.00
8/10/12/17   6 -10.77 36.66 20.02   0.00
1/12/24/26   5 -12.26 36.66 20.02   0.00
7/17/29      5 -12.26 36.66 20.02   0.00
14/17/20/27  5 -12.26 36.67 20.02   0.00
2/17/29      5 -12.26 36.67 20.03   0.00
9/14/17/27   5 -12.27 36.68 20.04   0.00
4/8/17/23    6 -10.79 36.68 20.04   0.00
8/10/17/30   6 -10.79 36.70 20.06   0.00
3/8/10/17    6 -10.81 36.73 20.09   0.00
14/17/25/27  5 -12.30 36.75 20.11   0.00
1/8/14/26    5 -12.31 36.75 20.11   0.00
1/3/20/26    5 -12.31 36.76 20.12   0.00
8/10/17/25   6 -10.83 36.76 20.12   0.00
14/17/19/25  5 -12.31 36.77 20.12   0.00
8/10/17/21   6 -10.83 36.77 20.13   0.00
8/10/17/18   6 -10.83 36.77 20.13   0.00
2/8/10/17    6 -10.83 36.77 20.13   0.00
10/17/26/29  7  -9.24 36.79 20.15   0.00
5/17/26/29   6 -10.84 36.79 20.15   0.00
8/10/17/22   6 -10.84 36.79 20.15   0.00
8/11/15/17   6 -10.84 36.79 20.15   0.00
1/8/13/19    5 -12.33 36.80 20.15   0.00
10/17/29     6 -10.85 36.81 20.17   0.00
1/16/20/30   5 -12.34 36.82 20.18   0.00
8/10/16/17   6 -10.86 36.82 20.18   0.00
8/9/17/23    6 -10.86 36.82 20.18   0.00
8/10/17/24   6 -10.86 36.82 20.18   0.00
14/17/19/26  5 -12.34 36.82 20.18   0.00
17/20/27/29  6 -10.86 36.83 20.19   0.00
1/8/9/26     5 -12.34 36.83 20.19   0.00
1/8/14/19    5 -12.35 36.84 20.20   0.00
13/14/17/26  5 -12.35 36.84 20.20   0.00
5/17/26      4 -13.73 36.85 20.20   0.00
17/19/26/29  6 -10.87 36.85 20.21   0.00
1/20/24/26   5 -12.35 36.85 20.21   0.00
1/7/14/26    5 -12.36 36.86 20.21   0.00
1/8/16/19    5 -12.36 36.86 20.22   0.00
7/14/17      4 -13.74 36.87 20.23   0.00
8/12/17/23   6 -10.88 36.87 20.23   0.00
1/2/8/26     5 -12.37 36.88 20.23   0.00
1/10/11/17   7  -9.29 36.88 20.24   0.00
1/5/7/26     5 -12.38 36.89 20.25   0.00
9/17/29      5 -12.38 36.89 20.25   0.00
1/25         3 -15.05 36.90 20.26   0.00
17/20/29     5 -12.38 36.90 20.26   0.00
1/8/20       4 -13.76 36.90 20.26   0.00
2/8/17/23    6 -10.90 36.90 20.26   0.00
6/8/17/23    6 -10.90 36.90 20.26   0.00
1/8/12/19    5 -12.38 36.91 20.27   0.00
1/15/20/30   5 -12.38 36.91 20.27   0.00
17/25/26/29  6 -10.91 36.92 20.28   0.00
7/17/26      4 -13.77 36.93 20.28   0.00
14/15/17/19  5 -12.39 36.93 20.29   0.00
8/17/23/25   6 -10.91 36.93 20.29   0.00
13/17/29     5 -12.39 36.93 20.29   0.00
1/8/18/26    5 -12.39 36.93 20.29   0.00
1/24/25/26   5 -12.40 36.94 20.29   0.00
14/17/27/30  5 -12.40 36.94 20.30   0.00
5/10/17/26   6 -10.92 36.95 20.30   0.00
17/19/26     4 -13.79 36.95 20.31   0.00
1/2/20/30    5 -12.41 36.96 20.32   0.00
1/6/7/26     5 -12.41 36.96 20.32   0.00
17           2 -16.29 36.97 20.33   0.00
12/17/29     5 -12.42 36.98 20.34   0.00
8/17/18/23   6 -10.94 36.99 20.34   0.00
1/9/20/30    5 -12.43 37.01 20.37   0.00
5/8/11/17    6 -10.95 37.01 20.37   0.00
12/14/17/27  5 -12.44 37.02 20.38   0.00
15/17/27     4 -13.82 37.03 20.38   0.00
17/24/27     4 -13.82 37.03 20.39   0.00
3/8/17/23    6 -10.96 37.03 20.39   0.00
13/17/20/27  5 -12.45 37.04 20.39   0.00
1/5/9/26     5 -12.45 37.04 20.40   0.00
9/17/27      4 -13.83 37.04 20.40   0.00
17/20/27     4 -13.83 37.05 20.41   0.00
7/17/27      4 -13.83 37.05 20.41   0.00
1/8/16/26    5 -12.45 37.05 20.41   0.00
7/17/26/29   6 -10.97 37.05 20.41   0.00
4/8/11/17    6 -10.97 37.06 20.42   0.00
14/17/29     5 -12.46 37.06 20.42   0.00
7/14/17/27   5 -12.46 37.06 20.42   0.00
14/15/17     4 -13.84 37.07 20.42   0.00
14/17/24/27  5 -12.46 37.07 20.43   0.00
1/12/25/26   5 -12.47 37.07 20.43   0.00
17/25/27     4 -13.85 37.08 20.44   0.00
1/7/26/30    5 -12.47 37.08 20.44   0.00
8/16/17/23   6 -10.99 37.08 20.44   0.00
1/7/18/26    5 -12.47 37.09 20.45   0.00
8/17/21/23   6 -10.99 37.09 20.45   0.00
17/22/26/29  6 -10.99 37.09 20.45   0.00
8/17/23/24   6 -10.99 37.10 20.46   0.00
14/15/17/27  5 -12.48 37.10 20.46   0.00
1/4/8/19     5 -12.48 37.10 20.46   0.00
2/14/17/26   5 -12.48 37.11 20.46   0.00
1/8/19/22    5 -12.48 37.11 20.47   0.00
1/8/19/24    5 -12.48 37.11 20.47   0.00
1/3/7/26     5 -12.49 37.12 20.48   0.00
1/3/24/26    5 -12.49 37.12 20.48   0.00
1/5/8/19     5 -12.49 37.12 20.48   0.00
1/15/26/28   7  -9.41 37.12 20.48   0.00
14/16/17/27  5 -12.49 37.12 20.48   0.00
15/17/29     5 -12.49 37.12 20.48   0.00
8/17/23/30   6 -11.01 37.12 20.48   0.00
1/3/12/26    5 -12.49 37.12 20.48   0.00
1/5/24/26    5 -12.49 37.13 20.48   0.00
1/9/20/26    5 -12.49 37.13 20.49   0.00
5/17/29      5 -12.50 37.14 20.49   0.00
8/17/22/23   6 -11.01 37.14 20.50   0.00
1/2/8/19     5 -12.50 37.15 20.51   0.00
1/3/6/8      5 -12.50 37.15 20.51   0.00
13/17/25/27  5 -12.50 37.15 20.51   0.00
1/8/19/27    5 -12.50 37.15 20.51   0.00
3/13/17/27   5 -12.50 37.15 20.51   0.00
1/8/19/21    5 -12.50 37.15 20.51   0.00
1/8/19/20    5 -12.50 37.15 20.51   0.00
1/11/20/30   6 -11.02 37.15 20.51   0.00
17/27/30     4 -13.89 37.15 20.51   0.00
3/17/26      4 -13.89 37.16 20.51   0.00
1/8/22/26    5 -12.51 37.16 20.52   0.00
13/16/17/27  5 -12.51 37.16 20.52   0.00
1/20/22/30   5 -12.52 37.18 20.54   0.00
1/5/20/30    5 -12.52 37.18 20.54   0.00
8/11/12/17   6 -11.04 37.18 20.54   0.00
1/4/8/26     5 -12.52 37.19 20.55   0.00
17/29/30     5 -12.52 37.19 20.55   0.00
1/20/25/30   5 -12.52 37.19 20.55   0.00
6/13/17/27   5 -12.53 37.19 20.55   0.00
4/17/27      4 -13.91 37.19 20.55   0.00
12/14/17     4 -13.91 37.20 20.56   0.00
1/6/9/26     5 -12.53 37.20 20.56   0.00
1/8/13/26    5 -12.53 37.21 20.56   0.00
3/17/27      4 -13.91 37.21 20.57   0.00
15/17/26     4 -13.92 37.22 20.58   0.00
1/19/24/26   5 -12.54 37.22 20.58   0.00
1/5/26/30    5 -12.54 37.22 20.58   0.00
6/17/29      5 -12.54 37.22 20.58   0.00
1/5/25/26    5 -12.54 37.23 20.58   0.00
4/14/17/27   5 -12.54 37.23 20.59   0.00
1/8/26/27    5 -12.54 37.23 20.59   0.00
1/19/20/30   5 -12.55 37.24 20.60   0.00
1/9/25/26    5 -12.55 37.24 20.60   0.00
7/13/17/27   5 -12.55 37.24 20.60   0.00
1/8/21/26    5 -12.55 37.25 20.61   0.00
1/20/27/30   5 -12.55 37.25 20.61   0.00
1/12/20/30   5 -12.55 37.25 20.61   0.00
14/17/22/26  5 -12.55 37.25 20.61   0.00
1/3/9/26     5 -12.56 37.25 20.61   0.00
12/17/27     4 -13.94 37.26 20.62   0.00
5/17/27      4 -13.94 37.26 20.62   0.00
16/17/29     5 -12.56 37.26 20.62   0.00
1/14/20/30   5 -12.56 37.27 20.62   0.00
17/22/26     4 -13.94 37.27 20.63   0.00
1/20/21/30   5 -12.56 37.27 20.63   0.00
17/22/27     4 -13.95 37.28 20.63   0.00
16/17/27     4 -13.95 37.28 20.64   0.00
13/17/18/27  5 -12.57 37.29 20.65   0.00
1/3/20       4 -13.96 37.29 20.65   0.00
17/22/29     5 -12.57 37.29 20.65   0.00
8/17/28      6 -11.09 37.29 20.65   0.00
17/21/27     4 -13.96 37.29 20.65   0.00
10/12/17/29  7  -9.50 37.30 20.66   0.00
6/17/27      4 -13.96 37.31 20.67   0.00
17/18/27     4 -13.97 37.31 20.67   0.00
1/24/26/30   5 -12.58 37.31 20.67   0.00
14/17/22/27  5 -12.59 37.31 20.67   0.00
14/17/22     4 -13.97 37.32 20.68   0.00
13/15/17/27  5 -12.59 37.32 20.68   0.00
9/13/17/27   5 -12.59 37.32 20.68   0.00
1/10/17/23   7  -9.51 37.34 20.70   0.00
13/17/22/27  5 -12.60 37.34 20.70   0.00
3/17/29      5 -12.60 37.34 20.70   0.00
