
Call:
model.avg(object = spmsc_consensus@objects)

Component model call: 
lmer(formula = BTM ~ <31931 unique rhs>, data = data)

Component models: 
                    df logLik   AICc delta weight
2/11/12/16/18/19/21 10 -37.69 105.38 11.93   0.00
2/11/16/18/19/21/33 10 -37.69 105.38 11.94   0.00
2/16/18/19/21/29/30 10 -37.70 105.40 11.96   0.00
2/9/16/18/19/21/29  10 -37.70 105.40 11.96   0.00
2/16/21/23           7 -43.46 105.41 11.97   0.00
2/7/16/19/21/22      9 -39.79 105.41 11.97   0.00
2/4/11/16/18/19/21  10 -37.71 105.42 11.98   0.00
2/11/15/16/19/21/28 10 -37.71 105.42 11.98   0.00
2/11/16/19/21/23     9 -39.80 105.42 11.98   0.00
2/16/19/21/22/25     9 -39.80 105.43 11.98   0.00
2/16/18/21/28        8 -41.71 105.43 11.98   0.00
2/9/16/18/19/21/33  10 -37.72 105.45 12.00   0.00
1/2/9/16/18/19/21   10 -37.72 105.45 12.00   0.00
2/16/18/20/21        8 -41.72 105.45 12.01   0.00
1/2/15/16/19/21/28  10 -37.72 105.45 12.01   0.00
2/16/19/21/22/29     9 -39.81 105.45 12.01   0.00
2/7/12/16/19/21      9 -39.83 105.48 12.04   0.00
2/15/16/18/21        8 -41.75 105.49 12.05   0.00
2/6/16/19/21/32     10 -37.75 105.50 12.06   0.00
2/10/16/18/19/21/22 10 -37.76 105.53 12.08   0.00
2/4/16/18/19/21/27  10 -37.76 105.53 12.09   0.00
2/12/16/18/19/21/22 10 -37.76 105.53 12.09   0.00
2/16/18/19/20/21/29 10 -37.78 105.55 12.11   0.00
1/2/16/18/19/21/30  10 -37.78 105.56 12.11   0.00
2/7/11/16/19/21/23  10 -37.78 105.56 12.11   0.00
2/16/19/21/23/32    10 -37.78 105.56 12.12   0.00
2/4/16/18/19/21/28  10 -37.78 105.56 12.12   0.00
2/11/16/19/21/32    10 -37.78 105.56 12.12   0.00
2/12/16/18/21        8 -41.78 105.56 12.12   0.00
2/16/17/18/19/21/25 10 -37.78 105.57 12.13   0.00
2/7/11/16/19/21/28  10 -37.79 105.58 12.14   0.00
2/10/11/16/18/19/21 10 -37.79 105.58 12.14   0.00
2/15/16/19/21/24/25 10 -37.80 105.59 12.15   0.00
2/9/16/19/21/32     10 -37.80 105.60 12.16   0.00
1/2/16/18/19/21/22  10 -37.81 105.61 12.17   0.00
2/16/18/19/21/31    11 -35.53 105.62 12.18   0.00
2/16/19/21/28/29     9 -39.90 105.62 12.18   0.00
2/16/18/19/21/24/28 10 -37.82 105.64 12.20   0.00
2/7/16/19/20/21      9 -39.91 105.65 12.21   0.00
1/2/16/18/19/20/21  10 -37.83 105.65 12.21   0.00
2/9/15/16/19/21/24  10 -37.83 105.66 12.22   0.00
2/7/16/19/21/27      9 -39.93 105.68 12.24   0.00
2/16/18/21/23        8 -41.84 105.68 12.24   0.00
2/11/15/16/19/21/30 10 -37.84 105.68 12.24   0.00
2/11/16/18/19/21/29 10 -37.85 105.69 12.25   0.00
2/8/15/16/19/21/32  11 -35.57 105.70 12.26   0.00
2/15/16/19/21/22/28 10 -37.86 105.73 12.29   0.00
1/2/11/16/18/19/21  10 -37.87 105.73 12.29   0.00
2/7/15/16/19/21/22  10 -37.87 105.73 12.29   0.00
2/7/16/21            7 -43.63 105.74 12.30   0.00
2/7/15/16/19/21/23  10 -37.87 105.74 12.30   0.00
2/15/16/19/21/22/30 10 -37.87 105.74 12.30   0.00
2/15/16/19/21/23/28 10 -37.87 105.75 12.31   0.00
2/16/18/19/21/22/29 10 -37.88 105.75 12.31   0.00
2/15/16/19/21/23/29 10 -37.88 105.75 12.31   0.00
2/16/19/21/22/23     9 -39.97 105.77 12.33   0.00
2/4/16/18/19/21/29  10 -37.89 105.79 12.34   0.00
2/15/16/19/21/23/30 10 -37.89 105.79 12.35   0.00
2/16/19/21/25/27     9 -39.98 105.79 12.35   0.00
2/16/18/19/21/25/32 11 -35.61 105.80 12.35   0.00
2/9/15/16/19/21/30  10 -37.90 105.80 12.36   0.00
1/2/6/15/16/19/21   10 -37.90 105.80 12.36   0.00
2/4/12/16/18/19/21  10 -37.90 105.81 12.36   0.00
2/12/16/18/19/21/27 10 -37.90 105.81 12.37   0.00
2/6/16/18/21         8 -41.91 105.81 12.37   0.00
2/9/11/16/19/21      9 -39.99 105.81 12.37   0.00
2/7/11/16/19/21/25  10 -37.91 105.82 12.38   0.00
2/16/19/20/21/25     9 -40.00 105.83 12.39   0.00
2/16/18/19/21/22/33 10 -37.92 105.85 12.41   0.00
2/15/16/19/21/25/33 10 -37.92 105.85 12.41   0.00
2/15/16/19/21/23/24 10 -37.93 105.85 12.41   0.00
2/10/15/16/19/21/25 10 -37.93 105.85 12.41   0.00
2/5/6/16/18/19/21   10 -37.93 105.86 12.42   0.00
2/7/9/15/16/19/21   10 -37.94 105.87 12.43   0.00
2/9/16/18/19/21/24  10 -37.94 105.87 12.43   0.00
2/10/16/18/19/21/27 10 -37.94 105.89 12.45   0.00
2/6/15/16/19/21/28  10 -37.95 105.89 12.45   0.00
2/8/16/19/21/24      9 -40.04 105.90 12.46   0.00
2/8/15/16/19/21/24  10 -37.95 105.90 12.46   0.00
2/5/7/16/18/19/21   10 -37.96 105.92 12.48   0.00
2/16/19/21/27/29     9 -40.05 105.93 12.48   0.00
2/12/16/19/21/25     9 -40.05 105.93 12.49   0.00
2/11/15/16/19/21/24 10 -37.97 105.93 12.49   0.00
1/2/11/15/16/19/21  10 -37.97 105.94 12.50   0.00
2/7/8/11/16/19/21   10 -37.97 105.95 12.51   0.00
2/8/14/16/18/19/21  11 -35.69 105.95 12.51   0.00
2/8/13/16/19/21     10 -37.98 105.95 12.51   0.00
2/13/15/16/19/21    10 -37.99 105.97 12.53   0.00
1/2/16/18/19/21/27  10 -37.99 105.98 12.54   0.00
2/6/15/16/19/21/30  10 -38.00 106.00 12.56   0.00
2/14/16/19/21        9 -40.09 106.00 12.56   0.00
2/15/16/18/19/21/32 11 -35.72 106.00 12.56   0.00
2/5/8/16/19/21       9 -40.09 106.01 12.57   0.00
2/16/18/19/21/27/29 10 -38.01 106.02 12.58   0.00
2/7/16/19/21/33      9 -40.10 106.02 12.58   0.00
2/16/19/20/21/29     9 -40.10 106.02 12.58   0.00
